"rank","Delt1","Delt2","Delt3","Delt4","Delt5","Volat","EMA"
76,0.116883116883117,0.211267605633803,0.162162162162162,-0.0227272727272727,-0.0752688172043011,1.53910941003517,83.4
87,-0.116279069767442,-0.012987012987013,0.0704225352112675,0.027027027027027,-0.136363636363636,1.66106229446986,82.0545454545454
91,0.144736842105263,0.0116279069767442,0.12987012987013,0.225352112676056,0.175675675675676,1.77094820229257,82.9537190082644
75,0.0459770114942528,0.197368421052632,0.058139534883721,0.181818181818182,0.28169014084507,1.73003547463295,84.41667918858
70,-0.175824175824176,-0.137931034482759,-0.0131578947368421,-0.127906976744186,-0.025974025974026,1.9864507268723,82.7045556997472
71,-0.0666666666666667,-0.230769230769231,-0.195402298850575,-0.0789473684210527,-0.186046511627907,1.99484873077733,80.3946364816114
80,0.0142857142857142,-0.0533333333333333,-0.21978021978022,-0.183908045977011,-0.0657894736842105,1.7869341469583,78.686520757682
79,0.126760563380282,0.142857142857143,0.0666666666666667,-0.120879120879121,-0.0804597701149425,1.88550730116256,78.9253351653762
69,-0.0125,0.112676056338028,0.128571428571429,0.0533333333333332,-0.131868131868132,1.84267389481986,78.9389105898533
72,-0.126582278481013,-0.1375,-0.028169014084507,-0.0142857142857142,-0.08,1.84955091929879,77.1318359371527
59,0.0434782608695652,-0.0886075949367089,-0.1,0.0140845070422535,0.0285714285714285,1.77417517330396,76.1987748576704
64,-0.180555555555556,-0.144927536231884,-0.253164556962025,-0.2625,-0.169014084507042,1.81891004053942,73.0717248835485
78,0.0847457627118644,-0.111111111111111,-0.072463768115942,-0.189873417721519,-0.2,1.88550223240847,71.4223203592669
102,0.21875,0.322033898305085,0.0833333333333333,0.130434782608696,-0.0126582278481012,2.0133472617229,72.6182621121275
93,0.307692307692308,0.59375,0.728813559322034,0.416666666666667,0.478260869565217,2.3940510189991,77.9603962735588
95,-0.0882352941176471,0.192307692307692,0.453125,0.576271186440678,0.291666666666667,2.50019739303833,80.6948696783663
98,0.021505376344086,-0.0686274509803921,0.217948717948718,0.484375,0.610169491525424,2.4411534512673,83.2958024641179
87,0.0315789473684212,0.053763440860215,-0.0392156862745098,0.256410256410256,0.53125,2.43401250258765,85.9692929251873
82.5,-0.112244897959184,-0.0842105263157895,-0.0645161290322581,-0.147058823529412,0.115384615384615,2.40072828176478,86.1566942115169
92,-0.0517241379310345,-0.158163265306122,-0.131578947368421,-0.112903225806452,-0.191176470588235,2.43380582193467,85.4918407185138
98,0.115151515151515,0.0574712643678161,-0.0612244897959183,-0.031578947368421,-0.010752688172043,2.0916530453431,86.6751424060568
116,0.0652173913043479,0.187878787878788,0.126436781609195,0,0.0315789473684212,2.08489286921299,88.7342074231373
99,0.183673469387755,0.260869565217391,0.406060606060606,0.333333333333333,0.183673469387755,2.02132846650875,93.6916242552942
81,-0.146551724137931,0.010204081632653,0.076086956521739,0.2,0.137931034482759,1.76879640910629,94.6567834816043
88,-0.181818181818182,-0.301724137931034,-0.173469387755102,-0.119565217391304,-0.0181818181818182,2.02345143621122,92.1737319394945
104,0.0864197530864197,-0.111111111111111,-0.241379310344828,-0.102040816326531,-0.0434782608695652,2.08583161960043,91.4148715868591
103,0.181818181818182,0.283950617283951,0.0505050505050506,-0.103448275862069,0.0612244897959184,2.28793834134943,93.7030767528847
107,-0.00961538461538458,0.170454545454545,0.271604938271605,0.0404040404040404,-0.112068965517241,2.16491038480516,95.3934264341784
83,0.0388349514563107,0.0288461538461537,0.215909090909091,0.320987654320988,0.0808080808080809,2.12157786470043,97.503712537055
65,-0.224299065420561,-0.194174757281553,-0.201923076923077,-0.0568181818181818,0.0246913580246915,2.53327880049811,94.8666738939541
79,-0.216867469879518,-0.392523364485981,-0.368932038834951,-0.375,-0.261363636363636,2.76756508206366,89.4363695495988
